Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Business Travel,msdyn_businesstravel,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_quantity,msdyn_quantity,Quantity,Decimal,Generic quanity field associated with activity entities.,True,Simple,None,"Minimum value: -100000000000
Maximum value: 100000000000
Precision: 10",,
Business Travel,msdyn_businesstravel,msdyn_quantityunit,msdyn_quantityunit,Quantity unit,Lookup,Unit associated with the quantity field.,True,Simple,None,"Targets:
msdyn_unit",,
Business Travel,msdyn_businesstravel,msdyn_quantityunitname,msdyn_quantityunitName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_reportingdate,msdyn_reportingdate,Reporting date,DateTime,Date used to parameterize reports.,True,Simple,None,Format: DateAndTime,,
Business Travel,msdyn_businesstravel,msdyn_transactiondate,msdyn_transactiondate,Transaction date,DateTime,Date associated with the actual date when the transaction occurred.,True,Simple,None,Format: DateOnly,,
Business Travel,msdyn_businesstravel,msdyn_valuechainpartnerid,msdyn_valuechainpartnerid,(Deprecated) Value chain partner,Lookup,Reference to value chain partner or supplier associated with the transaction.,True,Simple,None,"Targets:
msdyn_valuechainpartner",,
Business Travel,msdyn_businesstravel,msdyn_valuechainpartneridname,msdyn_valuechainpartneridName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_vehicletype,msdyn_vehicletype,Vehicle type,Lookup,Unique identifier for the vehicle type associated with combustion or supply chain transportation activities.,True,Simple,None,"Targets:
msdyn_vehicletype",,
Business Travel,msdyn_businesstravel,msdyn_vehicletypename,msdyn_vehicletypeName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 200",,
Business travel type,msdyn_businesstraveltype,msdyn_approvalstatus,msdyn_approvalstatus,Approval status,Choice,Indicator of approval of MSM entity.,True,Simple,None,"Options:
700610000: Pending
700610001: Approved
Default: N/A",,
Business travel type,msdyn_businesstraveltype,msdyn_approvalstatusname,msdyn_approvalstatusName,N/A,Virtual,N/A,True,Simple,None,,,
Business travel type,msdyn_businesstraveltype,msdyn_businesstraveltypeid,msdyn_businesstraveltypeId,Business travel type,Uniqueidentifier,Unique identifier for entity instances,False,Simple,SystemRequired,,,
Business travel type,msdyn_businesstraveltype,msdyn_dataconnection,msdyn_dataconnection,Connection,Lookup,The connection that ingested this business travel type,True,Simple,None,"Targets:
msdyn_dataconnection",,
Business travel type,msdyn_businesstraveltype,msdyn_dataconnectionname,msdyn_dataconnectionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business travel type,msdyn_businesstraveltype,msdyn_dataconnectionrefresh,msdyn_dataconnectionrefresh,Connection refresh,Lookup,The connection refresh which ingested this business travel type,True,Simple,None,"Targets:
msdyn_dataconnectionrefresh",,
Business travel type,msdyn_businesstraveltype,msdyn_dataconnectionrefreshname,msdyn_dataconnectionrefreshName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 3500",,
Business travel type,msdyn_businesstraveltype,msdyn_description,msdyn_description,Description,Text,Optional description that provides additional detail about the entity or attribute.,True,Simple,None,"Format: Text
Max length: 250",,
Business travel type,msdyn_businesstraveltype,msdyn_name,msdyn_name,Name,Text,The name of the custom entity.,True,Simple,ApplicationRequired,"Format: Text
Max length: 100",,
Business travel type,msdyn_businesstraveltype,msdyn_origincorrelationid,msdyn_origincorrelationid,Origin correlation ID,Text,An optional identifier to correlate record with data origin.,True,Simple,None,"Format: Text
Max length: 100",,
Factor library,msdyn_calculationlibrary,msdyn_accessmode,msdyn_accessmode,Access mode (internal),Choice,Access mode of the calculation library.,True,Simple,None,"Options:
570140000: Open
570140001: Restricted
Default: 570140000",,
Factor library,msdyn_calculationlibrary,msdyn_accessmodename,msdyn_accessmodeName,N/A,Virtual,N/A,True,Simple,None,,,
Factor library,msdyn_calculationlibrary,msdyn_attribution,msdyn_attribution,Attribution,Multiline Text,Appropriate acknowledgment to the original content creator when utilizing or distributing their work within the application,True,Simple,None,"Format: Text
Max length: 100000",,
Factor library,msdyn_calculationlibrary,msdyn_calculationlibraryid,msdyn_calculationlibraryId,Factor library,Uniqueidentifier,Unique identifier for entity instances,False,Simple,SystemRequired,,,
