TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
74,2,E043638,CONN-PCB USB 3.1 TYPE C RECEPTACLE HORIZONTAL,6.32723E+11,CNWURTH632723300011,N/A,N/A,N/A,"P2,P10",WURTH ELEKTRONIK,6.32723E+11,REL,N/A,N/A,N/A,N/A,N/A,?,?
75,1,E010074,CONN-PCB DC POWER JACK TH, PJ-102AH,CNCUI-PJ-102A,N/A,N/A,N/A,P11,CUI, PJ-102AH,REL,N/A,40313JH465,N/A,N/A,N/A,?,?
76,8,E026093,CONN-PCB  3.5MM JACK STEREO SMD RA, 35RASMT2BHNTRX,CNSWITCH35RASMT2BHNTRX,N/A,N/A,N/A,"P3,P4,P5,P12,P13,P14,P15,P16",SWITCHCRAFT, 35RASMT2BHNTRX,REL,N/A,N/A,N/A,N/A,N/A,?,?
77,1,E033664,"CONN-PCB 30POS MALE SHROUDED HDR, 2.54MM PITCH", D2530-6V0C-AR-WF,CNSMMHDR2X15L1788W338H410,N/A,N/A,N/A,P6,3M, D2530-6V0C-AR-WF,REL,N/A,N/A,N/A,N/A,N/A,?,?
80,3,E027241,SWITCH TACTILE SPST -NO, ADTSMW64NVTR,SWSML248W244H185,N/A,N/A,N/A,"PB1,PB2,SW2",APEM COMPONENTS, ADTSMW64NVTR,REL,N/A,N/A,N/A,N/A,6003675,?,?
81,1,E004648,TRANS PNP SILICON PLANAR HIGH CURRENT, FZT953TA,SOT223-2,N/A,N/A,N/A,Q1,DIODES INCORPORATED, FZT953TA,REL,A006-0015-002,N/A,N/A,N/A,1004473,?,?
83,2,E007239,RES SMD 100 Ohm 1% 1/20W 0201,100,R0201,1,N/A,1/20W,"R9,R10",PANASONIC, ERJ-1GNF1000C,REL,N/A,N/A,N/A,N/A,N/A,?,?
84,19,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,"R3,R22,R25,R26,R28,R29,R51,R53,R54,R55,R68,R69,R76,R78,R90,R91,R93,R99,R100",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
86,3,E032279,RES SMD 10K Ohm 5% 1/20W 0201, 10K,R0201,5,N/A,1/20W,"R64,R102,R106",PANASONIC, ERJ-1GNJ103C,REL,N/A,N/A,N/A,N/A,N/A,?,?
87,19,E003452,RES SMD 33 Ohm 5% 1/10W 0402 AEC-Q200,33,R0402,5,N/A,1/10W,"R7,R16,R17,R18,R27,R30,R74,R75,R77,R82,R83,R84,R85,R86,R87,R88,R103,R104,R202",PANASONIC, ERJ-2GEJ330X,REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,?
88,4,E025323,RES SMD 5.1K Ohm 5% 1/10W 0402 AEC-Q200, 5.1K,R0402,5,N/A,1/10W,"R97,R98,R107,R108",PANASONIC, ERJ-2GEJ512X,REL,N/A,N/A,N/A,N/A,N/A,?,?
89,9,E003464,RES SMD 100K Ohm 5% 1/10W 0402 AEC-Q200, 100K,R0402,5,N/A,1/10W,"R4,R5,R6,R109,R110,R127,R128,R186,R188",PANASONIC, ERJ-2GEJ104X,REL,N/A,N/A,N/A,N/A,7005773,?,?
90,1,E007439,RES SMD 1.2K Ohm 1% 1/10W 0402 AEC-Q200, 1.2K,R0402,1,N/A,1/10W,R11,PANASONIC, ERJ-2RKF1201X,REL,N/A,N/A,N/A,N/A,N/A,?,?
91,16,E003732,RES SMD 5.49K Ohm 1% 1/10W 0603 AEC-Q200, 5.49K,R0603,1,N/A,1/10W,"R111,R114,R117,R118,R119,R120,R121,R122,R129,R132,R135,R136,R137,R138,R139,R140",PANASONIC, ERJ-3EKF5491V,REL,A003-0032-092,41816DG1489,N/A,N/A,7007851,?,?
93,4,E018978,RES SMD 11K Ohm 0.1% 1/8W 0805 AEC-Q200 HIGH RELIABILITY, 11K,R0805,0.1,N/A,1/8W,"R113,R116,R131,R134",PANASONIC, ERA-6AEB113V,REL,N/A,N/A,N/A,N/A,N/A,?,?
94,2,E007920,RES SMD 2.2K Ohm 1% 1/20W 0201, 2.2K,R0201,1,N/A,1/20W,"R12,R14",PANASONIC, ERJ-1GNF2201C,REL,N/A,41816JH1376,N/A,N/A,7006540,?,?
95,8,E010703,RES SMD 237 Ohm 1% 1/10W 0603 AEC-Q200,237,R0603,1,N/A,1/10W,"R123,R124,R125,R126,R141,R142,R143,R144",PANASONIC, ERJ-3EKF2370V,REL,N/A,N/A,N/A,1605_CAB3,N/A,?,?
96,1,E019889,RES SMD 499K Ohm 1% 1/10W 0402 AEC-Q200, 499K,R0402,1,N/A,1/10W,R13,PANASONIC, ERJ-2RKF4993X,REL,N/A,N/A,N/A,N/A,N/A,?,?
97,12,E003508,RES SMD 475 Ohm 1% 1/8W 0805 AEC-Q200,475,R0805,1,N/A,1/8W,"R145,R146,R147,R148,R149,R150,R157,R158,R159,R160,R161,R162",PANASONIC, ERJ-6ENF4750V,REL,A003-0027-032,N/A,N/A,N/A,N/A,?,?
98,13,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/5W,"R2,R8,R15,R21,R23,R24,R56,R61,R62,R70,R71,R72,R73",VISHAY, CRCW04020000Z0EDHP,REL,N/A,N/A,N/A,N/A,N/A,?,?
99,12,E033966,RES SMD 49.9K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 49.9K,R0402,0.1,N/A,1/16W,"R151,R152,R153,R154,R155,R156,R163,R164,R165,R166,R167,R168",PANASONIC, ERA-2AEB4992X,REL,N/A,N/A,N/A,N/A,N/A,?,?
100,15,E004011,RES SMD 10K Ohm 1% 1/20W 0201, 10K,R0201,1,N/A,1/20W,"R35,R36,R40,R41,R59,R60,R169,R170,R172,R173,R174,R175,R176,R182,R185",PANASONIC, ERJ-1GNF1002C,REL,A003-0081-004,N/A,N/A,N/A,7005859,?,?
101,1,E034039,RES SMD 5.62K Ohm 1% 1/10W 0402 AEC-Q200, 5.62K,R0402,1,N/A,1/10W,R171,PANASONIC, ERJ-2RKF5621X,REL,N/A,N/A,N/A,N/A,N/A,?,?
102,1,E026149,RES SMD 33 Ohm 5% 1/10W 0603 AEC-Q200,33,R0603,5,N/A,1/10W,R177,PANASONIC, ERJ-3GEYJ330V,REL,N/A,N/A,N/A,N/A,N/A,?,?
103,3,E003782,RES SMD 1.5K Ohm 1% 1/10W 0402 AEC-Q200, 1.5K,R0402,1,N/A,1/10W,"R178,R179,R180",PANASONIC, ERJ-2RKF1501X,REL,A003-0035-039,41816DG1293,N/A,N/A,N/A,?,?
