TITLE: Bill of Materials
BOM NO: 05-046277-01-d2.csv
DATE: 09/30/2019
DESIGN: 02_046277d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_046277d\worklib\02_046277d_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
77,4,E003464,RES THICK FILM CHIP," 100K",R0402,5,N/A,1/10W,"R9,R10,R24,R25",PANASONIC," ERJ-2GEJ104X",REL,N/A,N/A,N/A,N/A,7005773,?,?
78,2,E004008,RES PRECISION THICK FILM CHIP," 200",R0201,1,N/A,1/20W,"R11,R14",PANASONIC," ERJ-1GNF2000C",REL,A003-0081-001,N/A,N/A,N/A,7006667,?,?
79,2,E007221,RES PRECISION THICK FILM CHIP R0201," 62",R0201,1,N/A,1/20W,"R12,R13",PANASONIC," ERJ-1GNF62R0C",REL,A003-0081-014,41816JH972,N/A,N/A,7008207,?,?
80,1,E026957,"RES THICK FILM, GENERAL PURPOSE"," 49.9K",R0402,1,N/A,1/16W,R16,YAGEO," RC0402FR-0749K9L",REL,N/A,N/A,N/A,N/A,N/A,?,?
81,1,E022868,RES THICK FILM CHIP," 0.2",R0402,1,N/A,1/6W,R17,PANASONIC," ERJ-2BSFR20X",REL,N/A,N/A,N/A,N/A,N/A,?,?
82,5,E025226,"RES THICK FILM CHIP JUMPER, GENERAL PURPOSE"," 0",R0402,N/A,N/A,1/16W,"R18,R19,R20,R22,R23","STACKPOLE ELECTRONICS, INC."," RMCF0402ZT0R00",REL,N/A,N/A,N/A,N/A,7001149,?,?
83,1,E020516,RES PRECISION THICK FILM CHIP," 88.7K",R0402,1,N/A,1/10W,R2,PANASONIC," ERJ-2RKF8872X",REL,N/A,N/A,N/A,N/A,N/A,?,?
84,1,E019639,RES STD THICK FILM CHIP," 1",R0402,5,N/A,1/16W,R21,VISHAY," CRCW04021R00JNED",REL,N/A,N/A,N/A,N/A,7005444,?,?
86,1,E017078,RES THICK FILM," 0.1",R0402,1,N/A,1/6W,R27,PANASONIC," ERJ-2BSFR10X",REL,N/A,N/A,N/A,N/A,7005414,?,?
87,18,E003751,RES PRECISION THICK FILM CHIP," 10K",R0402,1,N/A,1/10W,"R5,R28,R29,R30,R35,R36,R38,R39,R40,R50,R51,R52,R72,R73,R312,R313,R416,XR2",PANASONIC," ERJ-2RKF1002X",REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
90,3,E003763,RES PRECISION THICK FILM CHIP," 1K",R0402,1,N/A,1/10W,"R4,R6,R327",PANASONIC," ERJ-2RKF1001X",REL,A003-0035-019,N/A,N/A,751_CAB3,7001202,?,?
91,2,E003750,RES PRECISION THICK FILM CHIP," 49.9",R0402,1,N/A,1/16W,"R33,R34",PANASONIC," ERJ-2RKF49R9X",REL,A003-0035-003,41816DG208,N/A,1023_CAB3,7007757,?,?
93,22,E003438,RES CHIP SMD JMPR," 0",R0402,5,N/A,N/A,"R41,R42,R47,R54,R65,R70,R78,R80,R337,R338,R339,R410,R411,R412,R414,R429,R443,R445,R619,R626,R627,R628",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
94,3,E016329,RES PRECISION THICK FILM CHIP," 100",R0402,1,N/A,1/10W,"R37,R612,R621",PANASONIC," ERJ-2RKF1000X",REL,N/A,N/A,N/A,N/A,7005699,?,?
95,1,E019881,RES PRECISION THICK FILM CHIP," 31.6K",R0402,1,N/A,1/10W,R413,PANASONIC," ERJ-2RKF3162X",REL,N/A,N/A,N/A,N/A,N/A,?,?
96,1,E015602,RES PRECISION THICK FILM CHIP," 680",R0402,1,N/A,1/10W,R417,PANASONIC," ERJ-2RKF6800X",REL,N/A,N/A,N/A,1350_CAB3,7008258,?,?
97,1,E006346,RES PRECISION THICK FILM CHIP," 80.6K",R0402,1,N/A,1/16W,R419,PANASONIC," ERJ-2RKF8062X",REL,N/A,41816JH1209,N/A,N/A,7008418,?,?
98,1,E006752,RES FILM SMD 0402," 75K",R0402,5,N/A,1/16W,R420,PANASONIC," ERJ-2GEJ753X",REL,N/A,41816JH1103,N/A,N/A,7008352,?,?
99,1,E019610,RES STD THICK FILM CHIP," 13.7K",R0402,1,50V,1/16W,R423,VISHAY," CRCW040213K7FKED",REL,N/A,N/A,N/A,N/A,7006092,?,?
100,1,E003791,RES PRECISION THICK FILM CHIP," 20K",R0402,1,N/A,1/16W,R424,PANASONIC," ERJ-2RKF2002X",REL,A003-0035-048,41816DG1537,N/A,1264_CAB3,N/A,?,?
101,1,E025663,RES THICK FILM CHIP," 330K",R0402,1,N/A,1/16W,R428,MULTICOMP (SPC)," MC00625W04021330K",REL,N/A,N/A,N/A,N/A,N/A,?,?
